3/28/2024  12:36 PM
Units: N
Readings: Continuous
X-Axis: Travel
Travel Unit: mm
Reading	Load	Travel	Time
1	-0.3	0.000	0.000
2	-0.3	0.000	0.049
3	2.0	0.020	1.149
4	2.1	0.020	1.199
5	2.2	0.020	1.249
6	2.2	0.020	1.299
7	2.3	0.020	1.349
8	2.3	0.020	1.399
9	2.5	0.020	1.449
10	2.6	0.020	1.499
11	2.7	0.020	1.549
12	2.8	0.020	1.599
13	3.0	0.040	1.649
14	3.1	0.040	1.699
15	3.0	0.040	1.749
16	3.2	0.040	1.799
17	3.2	0.040	1.849
18	3.3	0.040	1.899
19	3.4	0.040	1.949
20	3.6	0.040	1.999
21	3.6	0.040	2.049
22	3.8	0.040	2.099
23	3.8	0.040	2.149
24	3.8	0.040	2.199
25	3.9	0.040	2.249
26	3.6	0.060	2.299
27	3.7	0.060	2.349
28	3.8	0.060	2.399
29	3.7	0.060	2.449
30	3.7	0.060	2.499
31	6.2	0.060	2.549
32	4.0	0.060	2.599
33	4.2	0.060	2.649
34	4.3	0.060	2.699
35	1.7	0.060	2.749
36	4.1	0.060	2.799
37	4.2	0.060	2.849
38	4.0	0.060	2.899
39	4.1	0.060	2.949
40	4.3	0.060	2.999
41	4.3	0.060	3.049
42	4.5	0.060	3.099
43	4.6	0.100	3.149
44	4.6	0.100	3.199
45	4.5	0.100	3.249
46	4.6	0.100	3.299
47	4.2	0.100	3.349
48	2.0	0.100	3.399
49	4.4	0.100	3.449
50	4.5	0.100	3.499
51	4.7	0.100	3.549
52	4.7	0.100	3.599
53	4.6	0.100	3.649
54	4.6	0.100	3.699
55	4.6	0.120	3.749
56	4.4	0.120	3.799
57	2.3	0.120	3.849
58	4.5	0.120	3.899
59	4.5	0.120	3.949
60	6.9	0.120	3.999
61	4.9	0.120	4.049
62	4.9	0.120	4.099
63	4.9	0.120	4.149
64	5.0	0.120	4.199
65	4.7	0.120	4.249
66	4.8	0.120	4.299
67	4.9	0.120	4.349
68	4.8	0.120	4.399
69	4.7	0.120	4.449
70	7.5	0.120	4.499
71	5.0	0.120	4.549
72	5.0	0.120	4.599
73	5.2	0.120	4.649
74	5.0	0.140	4.699
75	5.0	0.140	4.749
76	4.9	0.140	4.799
77	4.8	0.140	4.849
78	4.8	0.140	4.899
79	5.2	0.140	4.949
80	5.2	0.140	4.999
81	5.3	0.140	5.049
82	5.4	0.140	5.099
83	2.6	0.140	5.149
84	5.2	0.140	5.199
85	5.2	0.160	5.249
86	5.3	0.160	5.299
87	5.3	0.160	5.349
88	5.5	0.160	5.399
89	5.6	0.160	5.449
90	5.8	0.160	5.499
91	5.9	0.160	5.549
92	5.7	0.160	5.599
93	5.7	0.160	5.649
94	5.8	0.160	5.699
95	5.6	0.160	5.749
96	5.7	0.160	5.799
97	6.0	0.160	5.849
98	6.0	0.160	5.899
99	6.2	0.160	5.949
100	8.4	0.160	5.999
101	6.2	0.160	6.049
102	6.3	0.160	6.099
103	6.4	0.160	6.149
104	6.3	0.200	6.199
105	6.3	0.200	6.249
106	6.5	0.200	6.299
107	6.4	0.200	6.349
108	6.7	0.200	6.399
109	6.8	0.200	6.449
110	6.8	0.200	6.499
111	6.8	0.200	6.549
112	6.9	0.200	6.599
113	6.8	0.200	6.649
114	6.8	0.200	6.699
115	6.9	0.200	6.749
116	6.8	0.220	6.799
117	7.0	0.220	6.849
118	7.0	0.220	6.899
119	7.0	0.220	6.949
120	7.0	0.220	6.999
121	7.1	0.220	7.049
122	6.9	0.220	7.099
123	7.0	0.220	7.149
124	6.9	0.220	7.199
125	7.0	0.220	7.249
126	7.1	0.220	7.299
127	7.1	0.220	7.349
128	7.1	0.220	7.399
129	7.1	0.220	7.449
130	7.1	0.220	7.499
131	7.0	0.220	7.549
132	7.0	0.220	7.599
133	7.0	0.220	7.649
134	7.0	0.240	7.699
135	7.0	0.240	7.749
136	7.2	0.240	7.799
137	7.2	0.240	7.849
138	7.2	0.240	7.899
139	7.2	0.240	7.949
140	7.1	0.240	7.999
141	7.1	0.240	8.049
142	7.0	0.240	8.099
143	7.1	0.240	8.149
144	7.1	0.240	8.199
145	7.2	0.240	8.249
146	7.2	0.240	8.299
147	7.2	0.260	8.349
148	7.2	0.260	8.399
149	7.2	0.260	8.449
150	7.2	0.260	8.499
151	7.2	0.260	8.549
152	7.2	0.260	8.599
153	7.2	0.260	8.649
154	7.3	0.260	8.699
155	7.3	0.260	8.749
156	7.4	0.260	8.799
157	7.4	0.260	8.849
158	7.3	0.260	8.899
159	7.4	0.260	8.949
160	7.4	0.260	8.999
161	7.4	0.260	9.049
162	7.4	0.260	9.099
163	7.5	0.260	9.149
164	7.4	0.260	9.199
165	7.6	0.300	9.249
166	7.7	0.300	9.299
167	7.6	0.300	9.349
168	7.6	0.300	9.399
169	7.7	0.300	9.449
170	7.6	0.300	9.499
171	7.6	0.300	9.549
172	7.7	0.300	9.599
173	7.8	0.300	9.649
174	7.9	0.300	9.699
175	7.9	0.300	9.749
176	7.9	0.300	9.799
177	7.9	0.300	9.849
178	8.0	0.300	9.899
179	7.9	0.300	9.949
180	7.9	0.300	9.999
181	8.0	0.300	10.049
182	8.0	0.300	10.099
183	8.1	0.300	10.149
184	8.2	0.320	10.199
185	8.3	0.320	10.249
186	8.3	0.320	10.299
187	8.3	0.320	10.349
188	8.2	0.320	10.399
189	8.3	0.320	10.449
190	8.4	0.320	10.499
191	8.4	0.320	10.549
192	8.6	0.320	10.599
193	8.6	0.320	10.649
194	8.6	0.320	10.699
195	8.7	0.320	10.749
196	8.7	0.340	10.799
197	8.6	0.340	10.849
198	8.7	0.340	10.899
199	8.7	0.340	10.949
200	8.7	0.340	10.999
201	8.9	0.340	11.049
