9/12/2023  2:47 PM
Units: N
Readings: Continuous
X-Axis: Travel
Travel Unit: mm
Reading	Load	Travel	Time
1	0.7	0.000	0.000
2	0.5	0.000	0.100
3	0.4	0.000	0.150
4	0.3	0.000	0.200
5	0.3	0.000	0.250
6	0.1	0.000	0.300
7	-0.1	0.000	0.350
8	-0.3	0.000	0.400
9	-0.3	0.000	0.450
10	-0.4	0.000	0.500
11	-0.6	0.000	0.551
12	-0.7	0.020	0.600
13	-0.9	0.020	0.650
14	-0.9	0.020	0.701
15	-0.8	0.020	0.750
16	-1.1	0.020	0.800
17	-1.2	0.020	0.850
18	-1.1	0.020	0.900
19	-1.2	0.020	0.950
20	-1.3	0.020	1.000
21	-1.5	0.020	1.050
22	-1.7	0.020	1.100
23	-1.7	0.020	1.150
24	-1.5	0.020	1.200
25	-1.9	0.020	1.250
26	-2.0	0.020	1.300
27	-1.7	0.020	1.350
28	-1.8	0.020	1.400
29	-2.1	0.020	1.450
30	-2.2	0.020	1.500
31	-2.2	0.040	1.550
32	-2.1	0.040	1.601
33	-2.3	0.040	1.650
34	-2.5	0.040	1.700
35	-2.4	0.040	1.750
36	-2.5	0.040	1.800
37	-2.5	0.040	1.850
38	-2.6	0.040	1.900
39	-2.6	0.040	1.950
40	-2.6	0.040	2.001
41	-2.7	0.040	2.050
42	-2.6	0.040	2.100
43	-2.7	0.060	2.150
44	-2.6	0.060	2.200
45	-2.6	0.060	2.250
46	-2.7	0.060	2.300
47	-2.7	0.060	2.350
48	-2.8	0.060	2.400
49	-2.7	0.060	2.450
50	-2.7	0.060	2.500
51	-2.7	0.060	2.550
52	-2.8	0.060	2.600
53	-2.8	0.060	2.650
54	-2.8	0.060	2.700
55	-2.7	0.060	2.750
56	-2.8	0.060	2.800
57	-2.8	0.060	2.850
58	-2.8	0.060	2.900
59	-2.8	0.060	2.950
60	-2.7	0.060	3.001
61	-2.7	0.100	3.050
62	-2.9	0.100	3.101
63	-2.8	0.100	3.150
64	-2.8	0.100	3.200
65	-2.8	0.100	3.250
66	-2.8	0.100	3.300
67	-2.8	0.100	3.350
68	-2.7	0.100	3.400
69	-2.8	0.100	3.450
70	-2.8	0.100	3.500
71	-2.9	0.100	3.550
72	-2.9	0.100	3.600
73	-2.8	0.120	3.650
74	-2.9	0.120	3.700
75	-2.9	0.120	3.750
76	-2.9	0.120	3.801
77	-2.9	0.120	3.851
78	-2.9	0.120	3.900
79	-2.9	0.120	3.950
80	-2.9	0.120	4.000
81	-2.9	0.120	4.050
82	-2.9	0.120	4.100
83	-2.8	0.120	4.150
84	-2.8	0.120	4.200
85	-2.9	0.120	4.250
86	-2.9	0.120	4.300
87	-2.9	0.120	4.350
88	-2.8	0.120	4.400
89	-2.9	0.120	4.450
90	-2.9	0.120	4.500
91	-2.9	0.140	4.550
92	-2.8	0.140	4.600
93	-2.8	0.140	4.650
94	-2.9	0.140	4.700
95	-2.9	0.140	4.750
96	-2.9	0.140	4.800
97	-2.8	0.140	4.850
98	-2.8	0.140	4.900
99	-2.9	0.140	4.950
100	-2.9	0.140	5.000
101	-2.9	0.140	5.050
102	-2.8	0.140	5.100
103	-2.9	0.160	5.150
104	-2.8	0.160	5.200
105	-2.9	0.160	5.250
106	-2.9	0.160	5.301
107	-2.8	0.160	5.350
108	-2.8	0.160	5.400
109	-2.9	0.160	5.450
110	-2.9	0.160	5.500
111	-2.9	0.160	5.550
112	-2.9	0.160	5.600
113	-2.9	0.160	5.650
114	-3.0	0.160	5.700
115	-2.9	0.160	5.750
116	-2.9	0.160	5.800
117	-3.0	0.160	5.850
118	-3.1	0.160	5.900
119	-3.1	0.160	5.951
120	-3.0	0.160	6.000
121	-3.0	0.200	6.050
122	-3.1	0.200	6.101
123	-3.1	0.200	6.150
124	-3.1	0.200	6.200
125	-3.1	0.200	6.250
126	-3.1	0.200	6.301
127	-3.1	0.200	6.351
128	-3.2	0.200	6.400
129	-3.1	0.200	6.450
130	-3.1	0.200	6.500
131	-3.2	0.200	6.550
132	-3.2	0.220	6.600
133	-3.2	0.220	6.650
134	-3.2	0.220	6.700
135	-3.2	0.220	6.750
136	-3.3	0.220	6.800
137	-3.3	0.220	6.850
138	-3.3	0.220	6.900
139	-3.3	0.220	6.950
140	-3.3	0.220	7.000
141	-3.3	0.220	7.050
142	-3.4	0.220	7.100
143	-3.4	0.220	7.150
144	-3.3	0.220	7.200
145	-3.4	0.220	7.250
146	-3.4	0.220	7.300
147	-3.4	0.220	7.350
148	-3.4	0.220	7.400
149	-3.4	0.220	7.450
150	-3.4	0.220	7.500
151	-3.5	0.240	7.550
152	-3.4	0.240	7.600
153	-3.4	0.240	7.650
154	-3.4	0.240	7.701
155	-3.5	0.240	7.750
156	-3.5	0.240	7.800
157	-3.5	0.240	7.850
158	-3.5	0.240	7.900
159	-3.5	0.240	7.950
160	-3.5	0.240	8.000
161	-3.5	0.240	8.050
162	-3.5	0.240	8.100
163	-3.5	0.260	8.150
164	-3.5	0.260	8.200
165	-3.6	0.260	8.250
166	-3.6	0.260	8.300
167	-3.5	0.260	8.350
168	-3.5	0.260	8.400
169	-3.6	0.260	8.450
170	-3.6	0.260	8.500
171	-3.6	0.260	8.550
172	-3.6	0.260	8.600
173	-3.6	0.260	8.650
174	-3.6	0.260	8.700
175	-3.7	0.260	8.750
176	-3.7	0.260	8.800
177	-3.6	0.260	8.850
178	-3.6	0.260	8.900
179	-3.7	0.260	8.950
180	-3.7	0.260	9.000
181	-3.7	0.300	9.050
182	-3.7	0.300	9.100
183	-3.7	0.300	9.150
184	-3.8	0.300	9.200
185	-3.7	0.300	9.250
186	-3.7	0.300	9.300
187	-3.8	0.300	9.350
188	-3.8	0.300	9.400
189	-3.9	0.300	9.450
190	-3.9	0.300	9.501
191	-3.8	0.300	9.550
192	-3.9	0.300	9.600
193	-3.9	0.300	9.650
194	-3.9	0.300	9.701
195	-3.9	0.300	9.750
196	-4.0	0.300	9.800
197	-4.0	0.300	9.850
198	-4.0	0.300	9.901
199	-4.0	0.320	9.951
200	-4.1	0.320	10.000
201	-4.0	0.320	10.050
202	-4.0	0.320	10.100
203	-4.0	0.320	10.150
204	-4.1	0.320	10.201
