9/12/2023  2:51 PM
Units: N
Readings: Continuous
X-Axis: Travel
Travel Unit: mm
Reading	Load	Travel	Time
1	0.1	0.000	0.000
2	0.2	0.000	0.100
3	0.2	0.000	0.150
4	0.4	0.000	0.200
5	0.7	0.000	0.250
6	0.9	0.000	0.300
7	0.9	0.000	0.350
8	1.1	0.000	0.400
9	1.0	0.000	0.450
10	1.3	0.000	0.500
11	1.2	0.000	0.550
12	1.2	0.000	0.600
13	-0.9	0.000	0.650
14	1.6	0.000	0.700
15	1.8	0.000	0.750
16	3.9	0.000	0.800
17	-1.5	0.000	0.850
18	1.4	0.000	0.900
19	4.5	0.000	0.950
20	4.9	0.000	1.000
21	1.6	0.000	1.050
22	2.1	0.000	1.100
23	2.2	0.000	1.150
24	2.3	0.000	1.200
25	2.1	0.000	1.250
26	2.2	0.020	1.300
27	2.5	0.020	1.350
28	2.5	0.020	1.401
29	2.4	0.020	1.450
30	2.4	0.020	1.500
31	2.5	0.020	1.550
32	2.5	0.020	1.600
33	2.5	0.020	1.650
34	2.5	0.020	1.700
35	2.5	0.020	1.750
36	2.5	0.020	1.800
37	2.6	0.020	1.850
38	2.6	0.020	1.900
39	2.5	0.020	1.950
40	2.5	0.020	2.000
41	2.5	0.020	2.050
42	2.6	0.020	2.100
43	2.5	0.020	2.150
44	2.5	0.040	2.200
45	2.6	0.040	2.251
46	2.5	0.040	2.300
47	2.6	0.040	2.351
48	2.5	0.040	2.400
49	2.5	0.040	2.450
50	2.5	0.040	2.501
51	2.5	0.040	2.550
52	2.5	0.040	2.601
53	2.5	0.040	2.650
54	2.5	0.040	2.700
55	2.6	0.040	2.750
56	2.6	0.060	2.800
57	2.6	0.060	2.850
58	2.6	0.060	2.900
59	2.6	0.060	2.950
60	2.6	0.060	3.000
61	2.6	0.060	3.050
62	2.5	0.060	3.100
63	2.5	0.060	3.150
64	2.6	0.060	3.200
65	2.6	0.060	3.250
66	2.7	0.060	3.300
67	2.6	0.060	3.350
68	2.6	0.060	3.400
69	2.6	0.060	3.450
70	2.7	0.060	3.500
71	2.6	0.060	3.550
72	2.6	0.060	3.600
73	2.6	0.060	3.650
74	2.7	0.100	3.700
75	2.6	0.100	3.750
76	2.6	0.100	3.801
77	2.6	0.100	3.850
78	2.6	0.100	3.900
79	2.6	0.100	3.950
80	2.6	0.100	4.000
81	2.6	0.100	4.050
